plasmid,description,ks,tlag
126,rTetR-only,-0.0007664376936633795,0.6536037814908076
77,ZNF10-CBX1,2.3270290367194164,1.8737810999297562
181,ZNF10-Rand372,2.119481270511285,1.9188920205555042
182,Rand372-CBX1,2.2158254143744722,1.9217289503192112
76,ZNF10-ANM2,2.2277348405758253,1.9015567945977128
183,Rand372-ANM2,-0.0035497552812875934,-1.1591106410913925
140,FOXO3-ZNF10,1.746068687437895,1.8717081520362986
184,Rand372-FOXO3,0.3465685602674497,1.7662279929849594
90,NOTC2-ANM2,0.05771316510164277,1.8742361449225835
188,NOTC2-Rand372,0.23432254334049943,2.0419566342231064
91,NOTC2-KIBRA,0.6876634507948381,1.904000768803158
138,KIBRA-DMD297,0.15005818440150578,2.2549029343924647
